asafg,AFGHANISTAN
eualb,ALBANIA
afdza,ALGERIA
ocasm,AMERICAN SAMOA
euand,ANDORRA
afago,ANGOLA
naaia,ANGUILLA
anata,ANTARCTICA
naatg,ANTIGUA AND BARBUDA
saarg,ARGENTINA
asarm,ARMENIA
naabw,ARUBA
ocaus,AUSTRALIA
euaut,AUSTRIA
asaze,AZERBAIJAN
nabhs,BAHAMAS
asbhr,BAHRAIN
asbgd,BANGLADESH
nabrb,BARBADOS
eublr,BELARUS
eubel,BELGIUM
nablz,BELIZE
afben,BENIN
nabmu,BERMUDA
asbtn,BHUTAN
sabol,"BOLIVIA, PLURINATIONAL STATE OF"
nabes,"BONAIRE, SINT EUSTATIUS AND SABA"
eubih,BOSNIA AND HERZEGOVINA
afbwa,BOTSWANA
anbvt,BOUVET ISLAND
sabra,BRAZIL
asiot,BRITISH INDIAN OCEAN TERRITORY
asbrn,BRUNEI DARUSSALAM
eubgr,BULGARIA
afbfa,BURKINA FASO
afbdi,BURUNDI
askhm,CAMBODIA
afcmr,CAMEROON
nacan,CANADA
afcpv,CAPE VERDE
nacym,CAYMAN ISLANDS
afcaf,CENTRAL AFRICAN REPUBLIC
aftcd,CHAD
sachl,CHILE
aschn,CHINA
ascxr,CHRISTMAS ISLAND
ascck,COCOS (KEELING) ISLANDS
sacol,COLOMBIA
afcom,COMOROS
afcog,CONGO
afcod,"CONGO, THE DEMOCRATIC REPUBLIC OF THE"
occok,COOK ISLANDS
nacri,COSTA RICA
afciv,COTE D'IVOIRE
euhrv,CROATIA
nacub,CUBA
nacuw,CURACAO
ascyp,CYPRUS
eucze,CZECH REPUBLIC
eudnk,DENMARK
afdji,DJIBOUTI
nadma,DOMINICA
nadom,DOMINICAN REPUBLIC
saecu,ECUADOR
afegy,EGYPT
naslv,EL SALVADOR
afgnq,EQUATORIAL GUINEA
aferi,ERITREA
euest,ESTONIA
afeth,ETHIOPIA
saflk,FALKLAND ISLANDS (MALVINAS)
eufro,FAROE ISLANDS
ocfji,FIJI
eufin,FINLAND
eufra,FRANCE
saguf,FRENCH GUIANA
ocpyf,FRENCH POLYNESIA
anatf,FRENCH SOUTHERN TERRITORIES
afgab,GABON
afgmb,GAMBIA
asgeo,GEORGIA
eudeu,GERMANY
afgha,GHANA
eugib,GIBRALTAR
eugrc,GREECE
nagrl,GREENLAND
nagrd,GRENADA
ocglp,GUADELOUPE
ocgum,GUAM
nagtm,GUATEMALA
afgin,GUINEA
afgnb,GUINEA-BISSAU
saguy,GUYANA
nahti,HAITI
anhmd,HEARD ISLAND AND MCDONALD ISLANDS
euvat,HOLY SEE (VATICAN CITY STATE)
nahnd,HONDURAS
ashkg,HONG KONG
euhun,HUNGARY
euisl,ICELAND
asind,INDIA
asidn,INDONESIA
asirn,"IRAN, ISLAMIC REPUBLIC OF"
asirq,IRAQ
euirl,IRELAND
euimn,ISLE OF MAN
asisr,ISRAEL
euita,ITALY
najam,JAMAICA
asjpn,JAPAN
asjor,JORDAN
askaz,KAZAKHSTAN
afken,KENYA
ockir,KIRIBATI
asprk,"KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF"
askor,"KOREA, REPUBLIC OF"
askwt,KUWAIT
askgz,KYRGYZSTAN
aslao,LAO PEOPLE'S DEMOCRATIC REPUBLIC
eulva,LATVIA
aslbn,LEBANON
aflso,LESOTHO
aflbr,LIBERIA
aflby,LIBYA
eulie,LIECHTENSTEIN
eultu,LITHUANIA
eulux,LUXEMBOURG
asmac,MACAO
eumkd,"MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF"
afmdg,MADAGASCAR
afmwi,MALAWI
asmys,MALAYSIA
asmdv,MALDIVES
afmli,MALI
eumlt,MALTA
ocmhl,MARSHALL ISLANDS
namtq,MARTINIQUE
afmrt,MAURITANIA
afmus,MAURITIUS
afmyt,MAYOTTE
namex,MEXICO
ocfsm,"MICRONESIA, FEDERATED STATES OF"
eumda,"MOLDOVA, REPUBLIC OF"
eumco,MONACO
asmng,MONGOLIA
eumne,MONTENEGRO
namsr,MONTSERRAT
afmar,MOROCCO
afmoz,MOZAMBIQUE
asmmr,MYANMAR
afnam,NAMIBIA
ocnru,NAURU
asnpl,NEPAL
eunld,NETHERLANDS
ocncl,NEW CALEDONIA
ocnzl,NEW ZEALAND
nanic,NICARAGUA
afner,NIGER
afnga,NIGERIA
ocniu,NIUE
ocnfk,NORFOLK ISLAND
ocmnp,NORTHERN MARIANA ISLANDS
eunor,NORWAY
asomn,OMAN
aspak,PAKISTAN
ocplw,PALAU
aspse,"PALESTINIAN TERRITORY, OCCUPIED"
napan,PANAMA
ocpng,PAPUA NEW GUINEA
sapry,PARAGUAY
saper,PERU
asphl,PHILIPPINES
ocpcn,PITCAIRN
eupol,POLAND
euprt,PORTUGAL
napri,PUERTO RICO
asqat,QATAR
afreu,REUNION
eurou,ROMANIA
eurus,RUSSIAN FEDERATION
afrwa,RWANDA
nablm,SAINT BARTHELEMY
afshn,"SAINT HELENA, ASCENSION AND TRISTAN DA CUNHA"
nakna,SAINT KITTS AND NEVIS
nalca,SAINT LUCIA
namaf,SAINT MARTIN (FRENCH PART)
naspm,SAINT PIERRE AND MIQUELON
navct,SAINT VINCENT AND THE GRENADINES
ocwsm,SAMOA
eusmr,SAN MARINO
afstp,SAO TOME AND PRINCIPE
assau,SAUDI ARABIA
afsen,SENEGAL
eusrb,SERBIA
afsyc,SEYCHELLES
afsle,SIERRA LEONE
assgp,SINGAPORE
eusvk,SLOVAKIA
eusvn,SLOVENIA
ocslb,SOLOMON ISLANDS
afsom,SOMALIA
afzaf,SOUTH AFRICA
ansgs,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS
afssd,SOUTH SUDAN
euesp,SPAIN
aslka,SRI LANKA
afsdn,SUDAN
sasur,SURINAME
eusjm,SVALBARD AND JAN MAYEN
afswz,SWAZILAND
euswe,SWEDEN
euche,SWITZERLAND
assyr,SYRIAN ARAB REPUBLIC
astwn,TAIWAN
astjk,TAJIKISTAN
aftza,"TANZANIA, UNITED REPUBLIC OF"
astha,THAILAND
astls,TIMOR-LESTE
aftgo,TOGO
octkl,TOKELAU
octon,TONGA
natto,TRINIDAD AND TOBAGO
aftun,TUNISIA
astur,TURKEY
astkm,TURKMENISTAN
natca,TURKS AND CAICOS ISLANDS
octuv,TUVALU
afuga,UGANDA
euukr,UKRAINE
asare,UNITED ARAB EMIRATES
eugbr,UNITED KINGDOM
nausa,UNITED STATES
naumi,UNITED STATES MINOR OUTLYING ISLANDS
saury,URUGUAY
asuzb,UZBEKISTAN
ocvut,VANUATU
saven,"VENEZUELA, BOLIVARIAN REPUBLIC OF"
asvnm,VIET NAM
navir,"VIRGIN ISLANDS, BRITISH"
ocwlf,WALLIS AND FUTUNA
afesh,WESTERN SAHARA
asyem,YEMEN
afzmb,ZAMBIA
