id	id_3char	name
asafg	 	AFGHANISTAN
eualb	alb	ALBANIA
afdza	dza	ALGERIA
ocasm	asm	AMERICAN SAMOA
euand	and	ANDORRA
afago	ago	ANGOLA
naaia	aia	ANGUILLA
anata	ata	ANTARCTICA
naatg	atg	ANTIGUA AND BARBUDA
saarg	arg	ARGENTINA
asarm	arm	ARMENIA
naabw	abw	ARUBA
ocaus	aus	AUSTRALIA
euaut	aut	AUSTRIA
asaze	aze	AZERBAIJAN
nabhs	bhs	BAHAMAS
asbhr	bhr	BAHRAIN
asbgd	bgd	BANGLADESH
nabrb	brb	BARBADOS
eublr	blr	BELARUS
eubel	bel	BELGIUM
nablz	blz	BELIZE
afben	ben	BENIN
nabmu	bmu	BERMUDA
asbtn	btn	BHUTAN
sabol	bol	"BOLIVIA, PLURINATIONAL STATE OF"
nabes	bes	"BONAIRE, SINT EUSTATIUS AND SABA"
eubih	bih	BOSNIA AND HERZEGOVINA
afbwa	bwa	BOTSWANA
anbvt	bvt	BOUVET ISLAND
sabra	bra	BRAZIL
asiot	iot	BRITISH INDIAN OCEAN TERRITORY
asbrn	brn	BRUNEI DARUSSALAM
eubgr	bgr	BULGARIA
afbfa	bfa	BURKINA FASO
afbdi	bdi	BURUNDI
askhm	khm	CAMBODIA
afcmr	cmr	CAMEROON
nacan	can	CANADA
afcpv	cpv	CAPE VERDE
nacym	cym	CAYMAN ISLANDS
afcaf	caf	CENTRAL AFRICAN REPUBLIC
aftcd	tcd	CHAD
sachl	chl	CHILE
aschn	chn	CHINA
ascxr	cxr	CHRISTMAS ISLAND
ascck	cck	COCOS (KEELING) ISLANDS
sacol	col	COLOMBIA
afcom	com	COMOROS
afcog	cog	CONGO
afcod	cod	"CONGO, THE DEMOCRATIC REPUBLIC OF THE"
occok	cok	COOK ISLANDS
nacri	cri	COSTA RICA
afciv	civ	CÔTE D'IVOIRE
euhrv	hrv	CROATIA
nacub	cub	CUBA
nacuw	cuw	CURAÇAO
ascyp	cyp	CYPRUS
eucze	cze	CZECH REPUBLIC
eudnk	dnk	DENMARK
afdji	dji	DJIBOUTI
nadma	dma	DOMINICA
nadom	dom	DOMINICAN REPUBLIC
saecu	ecu	ECUADOR
afegy	egy	EGYPT
naslv	slv	EL SALVADOR
afgnq	gnq	EQUATORIAL GUINEA
aferi	eri	ERITREA
euest	est	ESTONIA
afeth	eth	ETHIOPIA
saflk	flk	FALKLAND ISLANDS (MALVINAS)
eufro	fro	FAROE ISLANDS
ocfji	fji	FIJI
eufin	fin	FINLAND
eufra	fra	FRANCE
saguf	guf	FRENCH GUIANA
ocpyf	pyf	FRENCH POLYNESIA
anatf	atf	FRENCH SOUTHERN TERRITORIES
afgab	gab	GABON
afgmb	gmb	GAMBIA
asgeo	geo	GEORGIA
eudeu	deu	GERMANY
afgha	gha	GHANA
eugib	gib	GIBRALTAR
eugrc	grc	GREECE
nagrl	grl	GREENLAND
nagrd	grd	GRENADA
ocglp	glp	GUADELOUPE
ocgum	gum	GUAM
nagtm	gtm	GUATEMALA
afgin	gin	GUINEA
afgnb	gnb	GUINEA-BISSAU
saguy	guy	GUYANA
nahti	hti	HAITI
anhmd	hmd	HEARD ISLAND AND MCDONALD ISLANDS
euvat	vat	HOLY SEE (VATICAN CITY STATE)
nahnd	hnd	HONDURAS
ashkg	hkg	HONG KONG
euhun	hun	HUNGARY
euisl	isl	ICELAND
asind	ind	INDIA
asidn	idn	INDONESIA
asirn	irn	"IRAN, ISLAMIC REPUBLIC OF"
asirq	irq	IRAQ
euirl	irl	IRELAND
euimn	imn	ISLE OF MAN
asisr	isr	ISRAEL
euita	ita	ITALY
najam	jam	JAMAICA
asjpn	jpn	JAPAN
asjor	jor	JORDAN
askaz	kaz	KAZAKHSTAN
afken	ken	KENYA
ockir	kir	KIRIBATI
